Binding Energy (eV),Raw Counts,Background,Fit Envelope,Peak_C-C,Peak_C-O,Peak_O-C=O,Residual
292.0,1180,1120,1170,2,8,40,10
291.5,1250,1135,1235,4,16,80,15
291.0,1380,1150,1365,8,32,175,15
290.5,1590,1165,1575,15,70,325,15
290.0,1890,1180,1870,30,140,520,20
289.5,2160,1195,2145,65,260,625,15
289.0,2380,1210,2360,135,390,625,20
288.5,2590,1225,2570,260,520,565,20
288.0,2920,1240,2900,520,660,480,20
287.5,3460,1255,3435,950,790,440,25
287.0,4210,1270,4185,1610,870,435,25
286.5,5150,1285,5120,2510,900,425,30
286.0,6040,1300,6010,3380,890,440,30
285.5,6590,1315,6560,3980,840,425,30
285.0,6310,1330,6280,3810,730,410,30
284.5,5480,1345,5455,3130,610,370,25
284.0,4350,1360,4325,2240,470,255,25
283.5,3260,1375,3240,1450,330,85,20
283.0,2470,1390,2450,880,160,20,20
282.5,1980,1405,1965,520,35,5,15
282.0,1660,1420,1645,220,5,0,15
